genre,definition
trap,"['Trap subgenre', 'subgenre hip', 'hip hop', 'hop music', 'music originated', 'originated Southern', 'Southern United', 'United States', 'States The', 'The genre', 'genre gets', 'gets Atlanta', 'Atlanta slang', 'slang word', 'word house', 'house exclusively', 'exclusively sell', 'sell Trap', 'Trap music', 'music uses', 'uses synthesized', 'synthesized drums', 'drums characterized', 'characterized complex', 'complex tuned', 'tuned kick', 'kick drums', 'drums long', 'long decay', 'decay Roland', 'Roland drum', 'drum lyrical', 'lyrical content', 'content focuses', 'focuses drug', 'drug use', 'use urban', 'urban It', 'It utilizes', 'utilizes instruments', 'instruments focuses', 'focuses exclusively', 'exclusively snare', 'snare drums', 'drums genre', 'genre include', 'include producers', 'producers Kurtis', 'Kurtis Mannie', 'Mannie Shawty', 'Shawty DJ', 'DJ Screw', 'Screw rappers', 'rappers Young', 'Young Gucci', 'Gucci Mane', 'Mane coined', 'coined term', 'term album', 'album Trap', 'Trap The', 'The modern', 'modern trap', 'trap sound', 'sound popularized', 'popularized producer', 'producer Lex', 'Lex produced', 'produced influential', 'influential Waka', 'Waka Flocka', 'Flocka Flame', 'Flame album', 'album Flockaveli', 'Flockaveli cofounded', 'cofounded prolific', 'prolific production', 'production team', 'team crossing', 'crossing mainstream', 'mainstream trap', 'trap popular', 'popular forms', 'forms American', 'American consistently', 'consistently dominating', 'dominating Billboard', 'Billboard Hot', 'Hot artists', 'artists Cardi', 'Cardi Lil', 'Lil Uzi', 'Uzi Post', 'Post Young', 'Young Travis', 'Travis Scott', 'Scott achieving', 'achieving chart', 'chart songs', 'songs featuring', 'featuring production', 'production inspired', 'inspired trap', 'trap It', 'It influenced', 'influenced music', 'music pop', 'pop Ariana', 'Ariana Miley', 'Miley Rihanna', 'Rihanna Its', 'Its influence', 'influence heard', 'heard reggaetón', 'reggaetón In', 'In popular', 'popular form', 'form music', 'music time', 'time Nielsen', 'Nielsen coinciding', 'coinciding continued', 'continued rise', 'rise In', 'In song', 'song Town', 'Town Lil', 'Lil Nas', 'Nas X', 'X Billy', 'Billy Ray', 'Ray broke', 'broke record', 'record spending', 'spending weeks', 'weeks Billboard', 'Billboard Hot', 'Hot fastest', 'fastest song', 'song reach', 'reach Diamond']"
latin pop,"['Latin pop', 'pop Spanish', 'Spanish Pop', 'Pop pop', 'pop music', 'music subgenre', 'subgenre fusion', 'fusion music', 'music production', 'production Latin', 'Latin music', 'music genres', 'genres Latin', 'Latin America', 'America Originating', 'Originating Latin', 'Latin pop', 'pop musicians', 'musicians Portuguese', 'Portuguese Brazilian', 'Brazilian Romance', 'Romance Creole', 'Creole Latin', 'Latin pop', 'pop usually', 'usually combines', 'combines upbeat', 'upbeat Latin', 'Latin music', 'music American', 'American pop', 'pop Latin', 'Latin pop', 'pop commonly', 'commonly associated', 'associated dance']"
post-teen pop,[]
pop dance,"['popular music', 'music subgenre', 'subgenre originated', 'originated late', 'late early', 'early It', 'It generally', 'generally uptempo', 'uptempo music', 'music intended', 'intended nightclubs', 'nightclubs intention', 'intention danceable', 'danceable suitable', 'suitable contemporary', 'contemporary hit', 'hit Developing', 'Developing combination', 'combination dance', 'dance pop', 'pop influences', 'influences generally', 'generally characterised', 'characterised strong', 'strong beats', 'beats uncomplicated', 'uncomplicated song', 'song structures', 'structures generally', 'generally similar', 'similar pop', 'pop music', 'music dance', 'dance emphasis', 'emphasis melody', 'melody catchy', 'catchy The', 'The tends', 'tends despite', 'despite notable', 'notable highly', 'highly having', 'having borrowed', 'borrowed influences', 'influences varied', 'varied artists', 'artists Such', 'Such include', 'include contemporary', 'contemporary new', 'new jack', 'jack funk', 'funk pop', 'pop popular', 'popular mainstream', 'mainstream style', 'style music', 'music numerous', 'numerous artists', 'artists groups', 'groups perform', 'perform Notable', 'Notable artists', 'artists include', 'include Britney', 'Britney Kylie', 'Kylie Christina', 'Christina Spice', 'Spice Paula', 'Paula Backstreet', 'Backstreet Michael', 'Michael Jennifer', 'Jennifer Janet', 'Janet Katy', 'Katy Lady', 'Lady Years', 'Years Justin', 'Justin Ava']"
musica mexicana,"['The music', 'music Mexico', 'Mexico diverse', 'diverse features', 'features wide', 'wide range', 'range musical', 'musical genres', 'genres performance', 'performance It', 'It influenced', 'influenced variety', 'variety notably', 'notably deriving', 'deriving culture', 'culture It', 'It rarely', 'rarely contains', 'contains influences', 'influences Asians', 'Asians Hispanic', 'Hispanic Latino', 'Latino Music', 'Music expression', 'expression Mexican', 'Mexican beginning', 'beginning nineteenth']"
permanent wave,"['A permanent', 'permanent commonly', 'commonly called', 'called perm', 'perm permanent', 'permanent called', 'called distinguish', 'distinguish hairstyle', 'hairstyle consisting', 'consisting waves', 'waves curls', 'curls set', 'set The', 'The curls', 'curls number', 'number applied', 'applied thermal', 'thermal chemical', 'chemical In', 'In chemicals', 'chemicals applied', 'applied wrapped', 'wrapped forms', 'forms produce', 'produce waves', 'waves The', 'The process', 'process chemical', 'chemical straightening', 'straightening hair', 'hair flattened', 'flattened instead', 'instead curled', 'curled chemical']"
tropical house,"['Tropical known', 'known trop', 'trop subgenre', 'subgenre house', 'house derivation', 'derivation tropical', 'tropical elements', 'elements dancehall', 'dancehall Balearic', 'Balearic Artists', 'Artists genre', 'genre featured', 'featured summer', 'summer festivals', 'festivals The', 'The genre', 'genre popularized', 'popularized artists', 'artists including', 'including Thomas', 'Thomas Lost', 'Lost Seeb', 'Seeb term', 'term began', 'began joke', 'joke Australian', 'Australian producer', 'producer Thomas', 'Thomas gone', 'gone gain', 'gain popularity', 'popularity The', 'The term', 'term confused', 'confused tropical', 'tropical genre', 'genre instead', 'instead combines', 'combines feeling', 'feeling trance', 'trance beats', 'beats progressive', 'progressive electro']"
mellow gold,[]
soft rock,"['Soft rock', 'rock known', 'known light', 'light rock', 'rock derivative', 'derivative form', 'form pop', 'pop rock', 'rock originated', 'originated late', 'late region', 'region Southern', 'Southern California', 'California United', 'United The', 'The style', 'style smoothed', 'smoothed edges', 'edges pop', 'pop relying', 'relying melodic', 'melodic songs', 'songs lush', 'lush Soft', 'Soft rock', 'rock prevalent', 'prevalent radio', 'radio eventually', 'eventually metamorphosed', 'metamorphosed form', 'form synthesized', 'synthesized music', 'music adult', 'adult contemporary']"
alternative metal,"['Alternative metal', 'metal known', 'known genre', 'genre heavy', 'heavy metal', 'metal music', 'music combines', 'combines heavy', 'heavy metal', 'metal influences', 'influences alternative', 'alternative rock', 'rock genres', 'genres normally', 'normally associated', 'associated Alternative', 'Alternative metal', 'metal bands', 'bands characterized', 'characterized heavily', 'heavily guitar', 'guitar mixture', 'mixture accessible', 'accessible melodic', 'melodic vocals', 'vocals harsh', 'harsh vocals', 'vocals unconventional', 'unconventional sounds', 'sounds heavy', 'heavy metal', 'metal The', 'The term', 'term use', 'use came', 'came prominence', 'prominence genres', 'genres considered', 'considered alternative', 'alternative metal', 'metal movement', 'movement included', 'included rap', 'rap metal', 'metal funk', 'funk influenced', 'influenced prominent', 'prominent nu', 'nu Nu', 'Nu metal', 'metal expands', 'expands alternative', 'alternative metal', 'metal combining', 'combining vocal', 'vocal stylings', 'stylings downtuned', 'downtuned riffs', 'riffs elements', 'elements hip', 'hip thrash', 'thrash hardcore', 'hardcore punk', 'punk industrial', 'industrial metal', 'metal began', 'began bands', 'bands like', 'like Faith', 'Faith No', 'No Living', 'Living The', 'The genre', 'genre achieved', 'achieved success', 'success popularity', 'popularity bands', 'bands like', 'like Alice', 'Alice In', 'In late', 'late early', 'early nu', 'nu metal', 'metal achieved', 'achieved mainstream', 'mainstream popularity', 'popularity mainstream', 'mainstream success', 'success bands', 'bands like', 'like Limp', 'Limp Papa', 'Papa System', 'System Linkin', 'Linkin Slipknot', 'Slipknot After', 'After nu', 'nu popularity', 'popularity began', 'began bands', 'bands like', 'like Limp', 'Limp Bizkit', 'Bizkit experiencing', 'experiencing decline', 'decline album', 'album sales', 'sales nu', 'nu metal', 'metal bands', 'bands moving', 'moving alternative', 'alternative popularity', 'popularity continued', 'continued continued', 'continued success', 'success bands', 'bands like', 'like Godsmack', 'Godsmack System', 'System Down', 'Down mainstream', 'mainstream success', 'success emerging', 'emerging bands', 'bands like', 'like Three', 'Three Days', 'Days Grace', 'Grace Breaking']"
pop rock,"['Pop rock', 'rock typeset', 'typeset fusion', 'fusion genre', 'genre emphasis', 'emphasis professional', 'professional songwriting', 'songwriting recording', 'recording emphasis', 'emphasis attitude', 'attitude rock', 'rock Originating', 'Originating late', 'late alternative', 'alternative normal', 'normal rock', 'rock early', 'early pop', 'pop rock', 'rock influenced', 'influenced original', 'original style', 'style rock', 'rock roll', 'roll It', 'It viewed', 'viewed distinct', 'distinct genre', 'genre field', 'field music', 'music overlaps', 'overlaps pop', 'pop The', 'The detractors', 'detractors pop', 'pop rock', 'rock deride', 'deride commercial', 'commercial product', 'product authentic', 'authentic rock']"
k-pop,"['short Korean', 'Korean popular', 'popular form', 'form popular', 'popular music', 'music originating', 'originating South', 'South Korea', 'Korea South', 'South Korean', 'Korean It', 'It includes', 'includes styles', 'styles genres', 'genres hip', 'hip electronic', 'electronic classical', 'classical traditional', 'traditional Korean', 'Korean music', 'music The', 'The term', 'term popular', 'popular South', 'South Korean', 'Korean pop', 'pop music', 'music called', 'called gayo', 'gayo While', 'While general', 'general term', 'term popular', 'popular music', 'music South', 'South Korea', 'Korea pop', 'pop music', 'music colloquially', 'colloquially narrower', 'narrower sense', 'sense Korean', 'Korean music', 'music artists', 'artists associated', 'associated entertainment', 'entertainment idol', 'idol industry', 'industry regardless', 'regardless modern', 'modern form', 'form genre', 'genre emerged', 'emerged formation', 'formation hip', 'hip hop', 'hop boy', 'boy band', 'band Seo', 'Seo Taiji', 'Taiji Their', 'Their experimentation', 'experimentation different', 'different styles', 'styles genres', 'genres music', 'music integration', 'integration foreign', 'foreign musical', 'musical elements', 'elements helped', 'helped reshape', 'reshape modernize', 'modernize South', 'South contemporary', 'contemporary music', 'music culture', 'culture began', 'began idol', 'idol music', 'music grew', 'grew subculture', 'subculture amassed', 'amassed enormous', 'enormous fandoms', 'fandoms teenagers', 'teenagers young', 'young After', 'After slump', 'slump early', 'early idol', 'idol TVXQ', 'TVXQ BoA', 'BoA started', 'started new', 'new generation', 'generation idols', 'idols broke', 'broke music', 'music genre', 'genre neighboring', 'neighboring Japanese', 'Japanese market', 'market continue', 'continue popularize', 'popularize internationally', 'internationally With', 'With advent', 'advent online', 'online social', 'social networking', 'networking services', 'services South', 'South Korean', 'Korean TV', 'TV current', 'current spread', 'spread South', 'South Korean', 'Korean known', 'known Korean', 'Korean seen', 'seen East', 'East Asia', 'Asia Southeast', 'Southeast Latin', 'Latin North', 'North Southern', 'Southern Africa', 'Africa East', 'East Middle', 'Middle East', 'East Western', 'Western gaining', 'gaining international', 'international experienced', 'experienced significant', 'significant growth', 'growth marking', 'marking increase', 'increase revenue', 'revenue As', 'As Korean', 'Korean popular', 'popular music', 'music ranked', 'ranked number', 'number music', 'music markets', 'markets worldwide', 'worldwide according', 'according International', 'International Federation', 'Federation Phonographic', 'Phonographic Music', 'Music Report', 'Report BTS', 'BTS Blackpink', 'Blackpink cited', 'cited artists', 'artists leading', 'leading market', 'market In', 'In experienced', 'experienced year', 'year experienced', 'experienced growth', 'growth positioned', 'positioned major', 'major market']"
electropop,"['Electropop hybrid', 'hybrid music', 'music genre', 'genre combining', 'combining elements', 'elements electronic', 'electronic pop', 'pop Writer', 'Writer Hollin', 'Hollin Jones', 'Jones described', 'described variant', 'variant heavy', 'heavy emphasis', 'emphasis electronic', 'electronic The', 'The genre', 'genre developed', 'developed saw', 'saw revival', 'revival popularity', 'popularity influence', 'influence late']"
nueva musica mexicana,[]
