genre,definition
permanent wave, remaster satellite interview demo sister lightning hole band american strange introduction favorite johnny london girls dreaming we're remastered there's sunday A permanent commonly called perm permanent called distinguish hairstyle consisting waves curls set The curls number applied thermal chemical In chemicals applied wrapped forms produce waves The process chemical straightening hair flattened instead curled chemical
tropical house, extended mixed feels higher lose acoustic losing somebody closer follow lights fade found body alive paradise mine again control together Tropical known trop subgenre house derivation tropical elements dancehall Balearic Artists genre featured summer festivals The genre popularized artists including Thomas Lost Seeb term began joke Australian producer Thomas gone gain popularity The term confused tropical genre instead combines feeling trance beats progressive electro
mellow gold, band banter interview hearts lovin' woman helpless takin' someone fool drivin' anyway you've bluebird stranger maybe dancin' ticket heartbreak goodnight 
soft rock, band banter lovin' someone fool whenever woman really hearts interview maybe anyone love's tomorrow's takin' you've words remaster bluebird 'til Soft rock known light rock derivative form pop rock originated late region Southern California United The style smoothed edges pop relying melodic songs lush Soft rock prevalent radio eventually metamorphosed form synthesized music adult contemporary
alternative metal, crawl bleed suffer enemy burn drown violent torn sick bullet ashes killing halo skin scream breakdown destroy army slave bleeding Alternative metal known genre heavy metal music combines heavy metal influences alternative rock genres normally associated Alternative metal bands characterized heavily guitar mixture accessible melodic vocals harsh vocals unconventional sounds heavy metal The term use came prominence genres considered alternative metal movement included rap metal funk influenced prominent nu Nu metal expands alternative metal combining vocal stylings downtuned riffs elements hip thrash hardcore punk industrial metal began bands like Faith No Living The genre achieved success popularity bands like Alice In late early nu metal achieved mainstream popularity mainstream success bands like Limp Papa System Linkin Slipknot After nu popularity began bands like Limp Bizkit experiencing decline album sales nu metal bands moving alternative popularity continued continued success bands like Godsmack System Down mainstream success emerging bands like Three Days Grace Breaking
pop rock, commentary acoustic satellite breakdown hurricane sister anyway maybe miles california american interview ordinary favorite lucky won't someday carry crash daylight Pop rock typeset fusion genre emphasis professional songwriting recording emphasis attitude rock Originating late alternative normal rock early pop rock influenced original style rock roll It viewed distinct genre field music overlaps pop The detractors pop rock deride commercial product authentic rock
k-pop, inst japanese starry confession flower airplane butterfly rewind crush because ending starlight prod dear promise sorry destiny paradise star liar short Korean popular form popular music originating South Korea South Korean It includes styles genres hip electronic classical traditional Korean music The term popular South Korean pop music called gayo While general term popular music South Korea pop music colloquially narrower sense Korean music artists associated entertainment idol industry regardless modern form genre emerged formation hip hop boy band Seo Taiji Their experimentation different styles genres music integration foreign musical elements helped reshape modernize South contemporary music culture began idol music grew subculture amassed enormous fandoms teenagers young After slump early idol TVXQ BoA started new generation idols broke music genre neighboring Japanese market continue popularize internationally With advent online social networking services South Korean TV current spread South Korean known Korean seen East Asia Southeast Latin North Southern Africa East Middle East Western gaining international experienced significant growth marking increase revenue As Korean popular music ranked number music markets worldwide according International Federation Phonographic Music Report BTS Blackpink cited artists leading market In experienced year experienced growth positioned major market
electropop, sober champagne youth girls numb acoustic somebody kiss forget cruel cherry drive human closer strangers boys hearts blame feels gold Electropop hybrid music genre combining elements electronic pop Writer Hollin Jones described variant heavy emphasis electronic The genre developed saw revival popularity influence late
nueva musica mexicana, corrido muchacho javier andamos compa sinaloense popurr chino disculpe chapo centenario arturo apague captura estilo botellas iniciales clave chavo gordo 
country, redneck drinkin' honky beer holdin' 'til hillbilly thinks cowboys wouldn't workin' folsom somebody's tulsa truck hangin' tryin' whiskey rudolph tennessee Country called country genre popular music originated church music Southern gospel American folk music forms including cowboy Western music styles New Red Texas Its popularized roots originate Southern Southwestern United States early music consists ballads dance tunes commonly known Tonk generally simple folk harmonies accompanied string instruments electric acoustic steel guitars pedal steels fiddles Blues modes extensively recorded term country music gained popularity preference hillbilly came encompass Western evolved parallel hillbilly music similar In United country music listened rush hour radio genre evening second popular morning term country music today describe styles The origins country music found folk music working class Americans American It historical roots indigenous music North Celtic early music British Irish traditional singing French folk traditional folk music
album rock, band remaster guitar drum banter interview takin' gimme breakdown crossroads drivin' join keyboard heartbreaker lucille shock pictures woman hungry boys rock originally called FM radio format created United States focuses repertoire rock albums currently associated classic radio established US radio stations dedicated playing album tracks rock artists hard rock progressive rock In AOR characterized mellifluous sound sophisticated production considerable dependence melodic Using research formal programming create album rock format greater commercial AOR format achieved tremendous popularity late early early radio term normally abbreviation meaning radio stations specialized classic rock recorded late term commonly conflated radio format uses initialism AOR covers album tracks range rock soft rock pop
contemporary country, beer drinkin' redneck drink dirt whiskey tequila cowboy truck workin' commentary drinking gets drunk damn hillbilly hometown american kinda 'til 
canadian pop, snow until kiss smile santa find sorry somebody save tonight leave nobody holy these perfect talk won't true 
southern hip hop, hood niggas nigga dope speaks gangsta ridin shawty bout ballin gettin drank boyz hustle pimp haters thug throwed niggaz grind Southern hip known Southern South Coast hip dirty blanket term regional genre American hip hop music emerged Southern United especially New cities constitute rap music reaction flow hip hop culture New York City Los Angeles area considered major American hip hop alongside East Coast hip hop West Coast hip Many early Southern rap artists released music independently mixtapes encountering difficulty securing contracts By early Southern artists attained decade went mainstream underground varieties Southern hip hop popular influential entire
desi pop, tere teri pyaar jatt tera punjabi ishq jaane yaar pyar mere zindagi meri pehli mera yaad baarish phir jaan aaja 
filmi, chinna zindagi kanna jaane mere mujhe pyar kabhi tere raat amma aayiram meri unnai yaaro maine teri kadhal suno neela Filmi music soundtracks music produced mainstream motion picture industry written performed Indian In music directors main body songs performed playback singers genre represents music sales market music tends appeal Pakistan especially Indian Songs different languages depending target example Hindi Playback singers usually noted ability sing charisma Filmi playback level success appeal tied involvement film soundtracks cinema releases highest box office Song Dance Indian archive presentation filmi praised generally fitting term tradition exuberant music melodrama closely identified Hindi commercial cinema produced Bombay truly
urban contemporary, spend grown unconditional sexy thinkin' girlfriend special betcha love's deserve fallin' superstar gotta tonight giving holla freaky changed somebody treat Urban contemporary known urban hip urban simply music radio The term coined New York radio DJ Frankie Crocker early synonym Black Urban contemporary radio stations feature playlist entirely Black genres quiet urban adult hip Latin music Latin Chicano Chicano Caribbean music reggae Urban contemporary developed characteristics genres urban music largely US virtually urban contemporary formatted radio stations United States located cities sizeable New York New Los Hartford contemporary music includes contemporary elements incorporate production elements found urban urban urban
melodic rap, pull freestyle rich fuck friends play Pop rap known pop hip melodic melodic genre music fusing lyricism hip hop music pop preference melodious vocals catchy This genre gained mainstream popularity influences roots pop rap trace hip hop artists LL Cool Beastie The lyrics choruses similar heard pop
hard rock, drum guitar screaming hell band outlaw evil crawl burnin' remaster writing attitude loaded prisoner hole shook rebel devil highway hunter Hard rock heavy rock loosely defined subgenre rock music typified aggressive vocals distorted electric Hard rock began psychedelic blues rock Some earliest hard rock music produced Rolling Cream Jimi Hendrix In late bands Jeff Beck Iron Led Golden Steppenwolf Deep Purple produced hard genre developed major form popular music Led Zeppelin Deep Purple joined Van During hard rock bands moved away hard rock roots pop Established bands comeback hard rock reached commercial peak glam metal bands Bon Jovi Def Leppard rawer sounds Guns Roses followed great success later rock began losing popularity commercial success urban grunge later Britpop Despite bands adopted hard rock sound saw renewed interest established attempts new bands emerged garage rock revival Out movement came garage rock bands like The White Interpol later Black In bands managed sustain highly successful recording
electro house, extended rave crank arcade louder mixed blackout drop pump riot bounce lose bump heartbeat techno amsterdam alive move higher signal Electro house genre electronic dance music characterized heavy bass tempo beats The term describe music DJ Mag Top including Benny Steve Aoki
nu metal, suffer bleed crawl enemy burn bullet damage violent destroy slave scream torn buried skin sick feed ashes beneath killing drowning Nu metal stylized subgenre alternative metal combines elements heavy metal music elements music genres hip alternative Nu metal bands drawn elements influences variety musical including multiple genres heavy Nu metal rarely features guitar solos displays technical genre heavily syncopated based guitar Many nu metal guitarists use guitars produce heavier DJs occasionally featured nu metal provide instrumentation turntable scratching electronic Vocal styles nu metal include screaming Nu metal key genres new wave American heavy metal popular late bands artists Limp Slipknot Kid Rock releasing albums sold millions Nu popularity continued early bands Papa selling came peak Linkin album Hybrid oversaturation bands combined underperformance releases led nu leading rise metalcore nu metal bands disbanding abandoning established sound favor nu metal bands combine nu metal genres metalcore nu metal bands early returned nu metal Bands like Of Mice Issues My Ticket Home combine nu metal metalcore Artists like Poppy Rina Sawayama integrate nu metal sounds electronic pop music late early
indie pop, audiotree july swimming window boys demo untitled used talk pink favorite california birthday half drunk snow darling heavy cherry sorry Indie pop typeset music genre subculture combines guitar pop DIY ethic opposition style tone mainstream pop It originated British late subsequently generated thriving club gig Compared indie genre relatively In later definition indie pop bifurcated mean bands unrelated DIY pop Subgenres include chamber pop twee
alternative rock, satellite untitled punch weird demo rocket blank automatic drag interview ugly remaster teenage ballad nervous bleed skin mark loop girlfriend Alternative category rock music emerged independent music underground widely popular refers distinction mainstream commercial rock pop The original meaning referring musicians influenced musical style DIY ethos punk alternative rock varied terms social regional Throughout magazines college radio word mouth increased prominence highlighted diversity alternative distinct styles music noise indie In September Billboard introduced charting system reflect rise format radio stations United States stations like Los Angeles New playing music rock alternative styles achieved minor mainstream notice signed major Most alternative remained signed independent labels received relatively little attention mainstream With breakthrough Nirvana popularity grunge Britpop movements alternative rock entered musical alternative bands success bands The White Stripes The Strokes early influx new alternative rock bands drew inspiration garage new wave found commercial success early mid establishing garage rock revival revival
uk pop, acoustic sober selfish feels colour hurt heartbreak somebody naked girls famous talk hanging maybe boys lose holding chasing breathe someone 
latin hip hop, quieren gata nena calle reggaeton gangster ella perreo dale quiere pegate sexo seguimos esto ponte ellos mami vamo rompe dime Latin known latin music recorded artists United States Hispanic Latino descent countries North Central South
rock en espanol, fantasma directo ruta tren arde canci hombre revoluci ciudad viento salir hasta tiempo viernes vivo amanece nada camino voces libertad Rock en español term widely world refer kind rock music featuring Spanish Unlike acts reached worldwide success different countries lack Despite rock en origins late rock acts achieved best nationwide fame Internet consolidated rock en español artists internationally popular help promotional campaign mid mid called en tu Some specific styles influenced folkloric rhythms developed Some prominent styles Latin rock fusion rock music Latin American Caribbean folkloric sounds developed Latino Latin alternative rock scene blended Latin sound genres like Caribbean Andalusian style emerged
ranchera, dejan anitas xico guadalajara gabino fallaste enorme golondrina mariachi golondrinas amanec dado llegando limosna cari presentimiento sacrificio stima cuatro retirada Ranchera canción ranchera genre traditional music It dates years Mexican Rancheras today played virtually regional Mexican music Drawing rural traditional folk ranchera developed symbol new national consciousness reaction aristocratic tastes classic songs usually talk life Mexico rural portray life Mexico time refers romanticizing love affairs
modern bollywood, jaane phir tere ishq pyaar teri zindagi kuch tera ladki tujhe kabhi jaana meri mera zara mere raat baarish mohabbat 
tropical, mujer salsa enamorado dame mujeres eres colegiala estoy pero vete llorar ella cumbia tengo dejaste coraz vuelve porque negra amame Tropical music música term Latin music industry refers music genres deriving influenced areas It includes islands Puerto The Dominican Caribbean coastal regions Colombia term tropical music created cover music hispanophone Caribbean excluding Cuban category niche American lesser extent music later century Cuban tropical music gained broader meaning began order distinguish Caribbean genres cumbia son cubano inland genres tejano
alt z, sober numb acoustic hurt girls psycho hate sorry fake friends middle pretty boys monster sick used somebody someone nobody devil 
gangster rap, gangsta niggaz pimp y'all hood nigga niggas thug pimpin' boyz ya'll represent dope players hustle ghetto southside speaks skit grind Gangsta rap gangster initially called reality emerged late controversial subgenre lyrics assert culture values typical American street gangs street Many gangsta rappers flaunt associations real street like Crips Gangsta pioneers Schoolly D Philadelphia Los Angeles especially In record producer rapper Snoop Dogg gangsta rap took rap lead popular rap recurrently accused promoting disorderly conduct broad especially drug Gangsta defenders variously characterized artistic depictions literal endorsements real life American suggested lyrics voice rage social oppression police accused critics hypocrisy racial gangsta rap assailed black public including Spike pastor Calvin Butts activist Delores
atl hip hop, shawty bankroll trappin trap brick turnt dope racks speaks swag bout talkin haters dawg ballin hustle bitches goin gucci plug 
art pop, demo glass neon plastic window cherry half untitled pink strange forget diamond hollow body poison mother flowers golden dust stars Art pop typeset loosely defined style pop music influenced art theories ideas art fine The genre draws pop integration high low emphasizes gesture personal Art pop musicians deviate traditional pop audiences rock music instead exploring postmodern approaches ideas status commercial notions artifice questions historical British American pop musicians Brian Phil Beatles began incorporating ideas pop art movement English art pop musicians drew art school America style drew influence pop artist Andy Warhol affiliated band Velvet The style experience glam rock artists David Bowie Roxy embraced theatricality throwaway pop tradition continued late styles synthpop British New Romantic developing artists rejected conventional rock instrumentation structure favor dance styles The saw new art pop trends hip hop artists drawing visual art vaporwave artists exploring sensibilities contemporary capitalism
country road, redneck beer drinkin' hillbilly workin' honky dirt whiskey drink tequila gets truck nothin' leavin' commentary tryin' cowboy rudolph heartache drinking Country Road Country Roads refer Road country music band Road Australian clothing James Taylor Roads Canadian TV series
corrido, guero compa chapo iniciales arturo comandante equipo chino chavo gordo joven escuela ivan captura vago alfredo javier pariente cholo andamos The corrido popular narrative metrical tale poetry forms The songs daily life vaquero socially relevant Corridos widely popular Mexican Southwestern American frontier development Tejano music New Mexico later influenced Western The corrido derives largely known form consists salutation singer prologue story moral farewell It popular genre today Mexico corridos popular Chilean celebrations Fiestas
new wave pop, whenever remaster love's demo doesn't kiss valentine really watching ordinary satellite pleasure record maybe anyone flame precious shame wants someone 
singer-songwriter, band interview jesse moved ballad ramblin' railroad banter tambourine needle nashville satisfied poor introduction which pilgrim john helpless suzanne mary A musician performs musical including lyrics In United category built role transmuted different eras popular provide sole accompaniment entire composition typically guitar In early digital production tools GarageBand began compose
underground hip hop, yung fuck westside lemonade gucci rick options cheese bitch shit risk blunt smokin mask wrist paid drip wassup dope smoke Underground commonly known indie underground umbrella term hip hop music outside general commercial It typically associated independent signed independent labels label Underground hip hop characterized socially unifying universal theme AllMusic suggests sonic refers community fans support independent Music scenes strong ties underground hip hop include alternative hip hop conscious hip Many artists considered today previously broken Billboard
neo mellow, acoustic ordinary someday won't middle losing chasing learning lucky these maybe closer wanted california american dear thousand hallelujah feels carry 
french hip hop, booska mauvais trop monde tout comme dans rien fait sans parano ration hors c'est laisse sale plus faut fais jeune French hip hop hip hop music style developed France second largest market world United
sad sierreno, doble calles compa estilo bien dinero ando dicen sigo corrido vivo paso fuiste dime aqui contigo eres recuerdos esta bonita 
german hip hop, kein keine nicht fick immer mehr alles wieder egal geld lauf leid allein meine niemals kopf ohne nummer mach lass German hip hop refers hip hop music produced Elements American hip hop graffiti art diffused Western Europe early
latin alternative, fantasma ciudad ruta viernes vivo fiebre canci gris hasta revoluci hombre amanece tren fantasmas tiempo todos viento libertad nada malas Latin brand Latin rock music produced combining genres like alternative hip new pop punk ska traditional Latin Europeans Latin Americans countries French Catalan
norteno, baraja contrabando carga corrido asesino ingrato gallos ramiro lamberto chubasco ezequiel comandante manuel ojitos lucio captura lupe compro tragedia concha Norteño Norteña música genre Regional Mexican The music based duple triple metre lyrics deal socially relevant norteño love The accordion bajo sexto traditional characteristic Norteña music developed late mixture local Mexican music folk genre popular Mexico United especially Mexican popular countries far Colombia Though originating rural norteño popular rural urban conjunto norteño type Mexican folk It includes diatonic bajo electric bass double
colombian pop, date dime mejor esta coraz vuelve estoy tengo contigo desde ahora volver ella eres tiempo dame nada noche 
pop urbaine, booska mauvais tout dans wesh comme probl elle parano fais trop vrai c'est hors sans connais millions t'es aller laisse 
country rock, honky folsom thinks drivin' ramblin' band nashville workin' heartache lovin' cajun texas southbound hillbilly tulsa hangin' tryin' darlin' 'til redneck Country rock subgenre popular formed fusion rock It developed rock musicians began record records late early These musicians recorded rock records country vocal additional characteristically pedal steel Country rock began artists like Buffalo Michael Bob Nitty Gritty Dirt Flying Burrito The International Submarine Band reaching greatest popularity artists Emmylou Linda Michael Charlie Daniels Pure Prairie Country rock influenced artists including Grateful Creedence Clearwater Rolling George solo playing development Southern
latin rock, canci fantasmas viaje fantasma ruta amanece viento fiebre vacaciones salir ciudad luces arde todas hombre desierto laberinto viernes hasta verano Latin rock term describe subgenre blending traditional sounds elements Latin American Hispanic Caribbean folk rock widely media refer kind rock music featuring Spanish Portuguese This led controversy scope rock confused music Latin rock en closely related Latin alternative scene combines Latin elements alternative electronic indie hip hop term refer
mexican pop, versi contigo dame estar estoy siempre coraz nadie rame duele nada esta eres puedo aire date vivir siento dime lado Mexican pop music genre produced particularly intended teenagers young country exports entertainment Spanish Mexican pop limited Latin America interest type music increased Luis Paulina Angélica debuts mainstream USA southwestern United Spanish guitar rhythms Mexican musical influences inspired music American musicians Ritchie Danny Flores The Sam Roy Orbison Herb public exhibited moderate interest media attention focused La Ola Inglesa Andy relocated Mexico star motion records During pop music produced Mexico consisted versions Singers musical groups like César Angélica Enrique Alberto Manolo Johnny Julissa Los Teen Tops performed cover versions songs Elvis Nancy Paul Joan Baez substantial success guitarist Carlos Santana United States late large number bands sprang Most bands sang Spanish keeping foreign commercial exposure
arrocha, casal solteiro saudade beijo esque tava pior volta cena copo meia cora liberdade ainda vontade maior beber acho libera feito The Arrocha style originated interior notably city seresta styles musical thematic musical lyrics based love stories people interior metropolitan regions Quickly spreading gained popularity Northeast region Nowadays popular
viral rap, bitch toxic choppa sticks fuck bands woah racks slide hook bankroll rich bitches drip nasty freestyle shit fucked flex gucci 
funk carioca, joga bumbum aquecimento desce tropa senta bonde novinha elas menor taca nois sarra bota foda favela rebola montagem solta sequ Funk carioca known favela funk parts baile funk Brazilian simply hip style Rio de blending funk rap subgenres Miami bass gangsta refers actual parties discotheques music played meaning Although originated increasingly popular working classes parts In funk carioca simply known musically different internationally In shows urban Afro beats
reggaeton colombiano, dime nadie ella 
folk rock, band woodstock tambourine interview jesse banter ballad introduction babe crossroads tuning drivin' ramblin' wooden woman lovin' blowin' smokey which it'll Folk rock hybrid music genre combines elements folk rock arose United United Kingdom In folk rock emerged folk music Performers Bob Dylan members earlier played folk blend sounds rock folk adopting use electric instrumentation drums way previously discouraged folk The term initially music press June describe commercial success cover version Tambourine debut album recordings rock albums Bringing It All Back Home Highway Revisited Blonde Blonde folk Simon use electric backing records new Buffalo controversial appearance Newport Folk Festival July backed electric pivotal moment development late Britain eclectic British folk rock style created Fairport Convention Alan Inspired British psychedelic folk North American style folk British folk rock bands began incorporate elements traditional British folk music leading including overtly English folk rock Albion Band Celtic
j-pop, album backing sayonara orchestra anniversary tokyo sakura acoustic size version answer karaoke english brand hero wonderland dear birthday kiss vocal stylized abbreviated form popular natively known simply pops form popular music entered musical mainstream Japan Modern roots traditional music significantly pop rock replaced kayōkyoku Singing term Japanese popular music Japanese music bands Happy End fused Beatles Beach rock Japanese music popularity international popularity Westerns appeal work musicians like Charlie Nagatani venues including Little mainstream producer Nujabes work Samurai Japanese pop culture seen anime hip Other trends Japanese music include early Namie Latin gospel music scenes defined new wave crossover fusion acts late Yellow Magic Orchestra Southern All Popular styles Japanese pop music include technopop city pop
art rock, remaster camera interview tomorrow's introduction drum watching pictures band century being strange thin book mother velvet guitar everyone sister demo Art rock subgenre rock music generally reflects challenging approach makes use unconventional Art rock aspires elevate rock entertainment artistic opting experimental conceptual outlook Influences drawn genres experimental classical music created intention listening contemplation distinguished use electronic effects easy listening textures far removed propulsive rhythms early The term interchangeably instead characterized particular employment classically trained instrumental technique symphonic greatest level popularity early British The theatrical nature performances associated able appeal artistically inclined adolescents younger especially virtuosity Art rock associated certain period rock beginning ending arrival punk rock genre infused later popular music genres
metal, destroyer damned unholy fuel screaming immortal morbid evil legion skull forsaken curse messiah wrath drum gods resurrection hell upon raven Heavy metal simply genre rock music developed late early largely United Kingdom United With roots blues psychedelic rock acid heavy metal bands developed monumental sound characterized distorted extended guitar emphatic beats famous Led Black Sabbath Deep Though came attract wide derided Several American bands modified heavy metal accessible forms sleazy sound shock rock Alice Cooper rock flashy guitar leads party rock Van During Judas Priest helped spur evolution discarding blues Motörhead introduced punk rock sensibility increasing emphasis Beginning late bands new wave British heavy metal Iron Maiden Saxon followed similar By end heavy metal fans known The lyrics performances usually associated aggression issue led accusations glam metal popular groups Bon Mötley Crüe underground scenes produced array aggressive thrash metal broke mainstream bands extreme subgenres death metal black metal remain subcultural Since popular styles expanded definition These include groove metal nu incorporates elements grunge hip
