genre,definition
trap,"Trap subgenre hip hop music originated Southern United States 1990s . genre gets Atlanta slang word "" trap "" , house exclusively sell drugs . Trap music uses synthesized drums characterized complex hi - hat patterns , tuned kick drums long decay ( originally Roland TR-808 drum machine ) , lyrical content focuses drug use urban violence . utilizes instruments focuses exclusively snare drums double- triple - timed hi - hats . Pioneers genre include producers Kurtis Mantronik , Mannie Fresh , Shawty Redd , Fatboi , Zaytoven , DJ Screw Toomp , rappers Young Jeezy , Gucci Mane T.I. ( coined term 2003 album Trap Muzik ) . modern trap sound popularized producer Lex Luger , produced influential Waka Flocka Flame album Flockaveli 2010 , cofounded prolific hip - hop production team 808 Mafia . crossing mainstream 2010s , trap popular forms American music , consistently dominating Billboard Hot 100 decade , artists Drake , Future , Cardi B , 21 Savage , Migos , Lil Uzi Vert , Post Malone , XXXTentacion ,   Young Thug , Travis Scott ( ) achieving . 1s chart songs featuring production inspired trap subgenre . influenced music pop R&B artists , Ariana Grande , Beyoncé , Miley Cyrus , Rihanna . influence heard reggaetón K - pop . 2018 , hip - hop popular form music time ( according Nielsen Data ) , coinciding trap continued rise popularity . 2019 , country - trap song "" Old Town Road "" Lil Nas X ( featuring Billy Ray Cyrus ) broke record spending weeks ( 19 weeks ) . 1 Billboard Hot 100 chart , fastest song reach Diamond Certification ."
latin pop,"Latin pop ( Spanish Portuguese : Pop latino ) pop music subgenre fusion – style music production Latin music genres Latin America Spain . Originating Spanish - speaking musicians , Latin pop musicians Portuguese ( mainly Brazilian Portuguese ) Romance Creole languages . Latin pop usually combines upbeat Latin music American pop music . Latin pop commonly associated Spanish - language pop , rock , dance music ."
post-teen pop,
pop dance,"Dance - pop popular music subgenre originated late 1970s early 1980s . generally uptempo music intended nightclubs intention danceable suitable contemporary hit radio . Developing combination dance pop influences disco , post - disco synth - pop , generally characterised strong beats easy , uncomplicated song structures generally similar pop music free - form dance genre , emphasis melody catchy tunes . genre , , tends producer - driven , despite notable exceptions . Dance - pop highly eclectic , having borrowed influences genres , varied producers , artists periods . include contemporary R&B , house , trance , techno , electropop , new jack swing , funk pop rock . 
 Dance - pop popular mainstream style music numerous artists groups perform genre . Notable artists include Cher , Madonna , Britney Spears , Kylie Minogue , Christina Aguilera , Spice Girls , Paula Abdul , Backstreet Boys , Michael Jackson , NSYNC , Jennifer Lopez , Janet Jackson , Rihanna , Katy Perry , Lady Gaga , Years & Years , Justin Bieber , Ava Max , ."
musica mexicana,"music Mexico diverse features wide range musical genres performance styles . influenced variety cultures , notably deriving culture Europeans , Indigenous , Africans . rarely contains influences Asians Arabs , Hispanic Latino cultures . Music expression Mexican nationalism , beginning nineteenth century ."
permanent wave,"permanent wave , commonly called perm permanent ( called "" curly perm "" distinguish "" straight perm "" ) , hairstyle consisting waves curls set hair . curls number months , . 
 Perms applied thermal chemical means . method , chemicals applied hair , wrapped forms produce waves curls . process chemical straightening relaxing , hair flattened instead curled chemical reaction ."
tropical house,"Tropical house , known trop house , subgenre house music , derivation tropical music , elements dancehall Balearic house . Artists genre featured summer festivals Tomorrowland . genre popularized artists including Thomas Jack , Kygo , Matoma , Lost Frequencies , Seeb Gryffin . term "" Tropical House "" began joke Australian producer Thomas Jack , gone gain popularity listeners . term "" trouse "" confused tropical house , "" trouse "" genre instead combines feeling trance beats progressive house , electro synths . 

"
mellow gold,
soft rock,"Soft rock ( known light rock adult - oriented rock ) derivative form pop rock originated late 1960s U.S. region Southern California United Kingdom . style smoothed edges singer - songwriter pop rock , relying simple , melodic songs big , lush productions . Soft rock prevalent radio 1970s eventually metamorphosed form synthesized music adult contemporary 1980s ."
alternative metal,"Alternative metal ( known alt - metal ) genre heavy metal music combines heavy metal influences alternative rock genres normally associated metal . Alternative metal bands characterized heavily downtuned , mid - paced guitar riffs , mixture accessible melodic vocals harsh vocals unconventional sounds heavy metal styles . term use 1980s , came prominence 1990s . genres considered alternative metal movement included rap metal funk metal , influenced prominent subgenre , nu metal . Nu metal expands alternative metal sound , combining vocal stylings downtuned riffs elements genres , hip hop , funk , thrash metal , hardcore punk industrial metal . 
 Alternative metal began 1980s bands like Faith , Living Colour , Soundgarden , Jane Addiction . genre achieved success 1990s popularity bands like Helmet , Tool , Alice Chains . late 1990s early 2000s , nu metal achieved mainstream popularity mainstream success bands like Korn , Limp Bizkit , P.O.D. , Papa Roach , Disturbed , Godsmack , System , Linkin Park , Slipknot Staind . 2003 , nu metal popularity began decline , bands like Korn , Limp Bizkit P.O.D. experiencing decline album sales nu metal bands moving genres . Nonetheless , alternative metal popularity continued mid – late 2000s continued success bands like Disturbed , Godsmack System mainstream success emerging bands like Evanescence , Days Grace Breaking Benjamin ."
pop rock,"Pop rock ( typeset pop / rock ) fusion genre emphasis professional songwriting recording craft , emphasis attitude rock music . Originating late 1950s alternative normal rock roll , early pop rock influenced beat , arrangements , original style rock roll ( doo - wop ) .   viewed distinct genre field music overlaps pop rock .   detractors pop rock deride slick , commercial product authentic rock music . 

"
k-pop,"K - pop ( Korean : 케이팝 ; RR : keipap ) , short Korean popular music , form popular music originating South Korea South Korean culture .   includes styles genres world , pop , hip hop , R&B , experimental , rock , jazz , gospel , reggae , electronic dance , folk , country , disco , classical traditional Korean music roots . term "" K - pop "" popular 2000s . Previously , South Korean pop music called gayo ( Korean : 가요 ; Hanja : 歌謠 ) .   "" K - pop "" general term popular music South Korea pop music country , colloquially narrower sense Korean music artists associated entertainment idol industry country , regardless genre . 
 modern form genre emerged formation hip hop boy band Seo Taiji Boys , 1992 . experimentation different styles genres music integration foreign musical elements helped reshape modernize South Korea contemporary music scene . Modern K - pop "" idol "" culture began 1990s , K - pop idol music grew subculture amassed enormous fandoms teenagers young adults . slump early idol music , 2003 , TVXQ BoA started new generation K - pop idols broke music genre neighboring Japanese market continue popularize K - pop internationally today . advent online social networking services South Korean TV shows , current spread K - pop South Korean entertainment , known Korean Wave , seen East Asia Southeast Asia , Pakistan , Bangladesh , India , Latin America , North Africa , Southern Africa East Africa , Middle East Western world , gaining international audience . 
 2018 , K - pop experienced significant growth "" power player "" , marking 17.9 % increase revenue growth . 2019 , Korean popular music ranked number music markets worldwide according International Federation Phonographic Industry "" Global Music Report 2019 "" , BTS Blackpink cited artists leading market growth . 2020 , K - pop experienced record - breaking year experienced 44.8 % growth positioned fastest - growing major market year ."
electropop,Electropop hybrid music genre combining elements electronic pop genres . Writer Hollin Jones described variant synth - pop heavy emphasis electronic sound . genre developed 1980s saw revival popularity influence late 2000s .
nueva musica mexicana,
country,"Country ( called country western ) genre popular music originated blues , church music Southern gospel spirituals , old - time , American folk music forms including Appalachian , Cajun , Creole , cowboy Western music styles New Mexico , Red Dirt , Tejano , Texas country . popularized roots originate Southern Southwestern United States early 1920s . 
 Country music consists ballads dance tunes ( commonly known "" Honky Tonk music "" ) generally simple forms , folk lyrics , harmonies accompanied string instruments electric acoustic guitars , steel guitars ( pedal steels dobros ) , banjos , fiddles harmonicas . Blues modes extensively recorded history . term country music gained popularity 1940s preference hillbilly music ; came encompass Western music , evolved parallel hillbilly music similar roots , mid-20th century . 2009 , United States , country music listened rush hour radio genre evening commute , second popular morning commute . term country music today describe styles subgenres . origins country music found folk music working class Americans blue - collar American life . historical roots indigenous music North America , Celtic music , early music British Isles , jota , Irish traditional music , singing cowboys , corrido , ranchera , norteño , French folk music , African - American music , traditional folk music traditions ."
album rock,"Album - oriented rock ( AOR , originally called album - oriented radio ) FM radio format created United States 1970s focuses repertoire rock albums currently associated classic rock . Originally , album - oriented radio established radio stations dedicated playing album tracks rock artists hard rock progressive rock genres . mid-1970s , AOR characterized layered , mellifluous sound sophisticated production considerable dependence melodic hooks . research formal programming create album rock format greater commercial appeal , AOR format achieved tremendous popularity late 1970s early 1980s . 
 early 1980s onwards , album - oriented radio term normally abbreviation "" Album - oriented rock "" , meaning radio stations specialized classic rock recorded late 1960s 1970s . term commonly conflated "" adult - oriented rock "" , radio format uses initialism AOR covers album - oriented rock , album tracks "" deep cuts "" range rock genres , soft rock pop rock ."
contemporary country,
canadian pop,
southern hip hop,"Southern hip hop , known Southern rap , South Coast hip hop , dirty south , blanket term regional genre American hip hop music emerged Southern United States , especially Atlanta , New Orleans , Houston , Memphis , Miami — cities constitute "" Southern Network "" rap music . music reaction 1980s flow hip hop culture New York City Los Angeles area considered major American hip hop scene , alongside East Coast hip hop West Coast hip hop . early Southern rap artists released music independently mixtapes encountering difficulty securing record - label contracts 1990s . early 2000s , Southern artists attained success , decade went , mainstream underground varieties Southern hip hop popular influential entire genre . 

"
desi pop,
filmi,"Filmi ( "" films "" ) music soundtracks music produced India mainstream motion picture industry written performed Indian cinema . cinema , music directors main body composers ; songs performed playback singers genre represents 72 % music sales market India . Filmi music tends appeal India , Nepal , Pakistan overseas , especially Indian diaspora . Songs different languages depending target audience , example Hindi Tamil . Playback singers usually noted ability sing charisma performers . Filmi playback singers ' level success appeal tied involvement film soundtracks cinema releases highest box office ratings . 
 "" Filmi Melody : Song Dance Indian Cinema "" archive presentation UCLA , filmi praised generally fitting term tradition "" Bombay melody "" , "" suggesting exuberant music melodrama closely identified Hindi commercial cinema produced Bombay ( Mumbai ) truly pan - Indian . """
urban contemporary,"Urban contemporary music , known urban music , hip hop , urban pop , simply urban , music radio format . term coined New York radio DJ Frankie Crocker early mid-1970s synonym Black music . Urban contemporary radio stations feature playlist entirely Black genres R&B , pop - rap , quiet storm , urban adult contemporary , hip hop , Latin music Latin pop , Chicano R&B Chicano rap , Caribbean music reggae soca . Urban contemporary developed characteristics genres R&B soul . urban music largely phenomenon , virtually urban contemporary formatted radio stations United States located cities sizeable African - American populations , New York City , Washington , D.C. , Detroit , Atlanta , Miami , Chicago , Cleveland , Philadelphia , Montgomery , Memphis , St. Louis , Newark , Charleston , New Orleans , Cincinnati , Dallas , Houston , Oakland , Los Angeles , Trenton , Columbia , Jacksonville , Flint , Baltimore , Boston , Birmingham , Indianapolis , Charlotte , Savannah , Hartford Jackson . 
 Urban contemporary music includes contemporary elements R&B incorporate production elements found urban Euro - pop , urban rock , urban alternative ."
melodic rap,"Pop rap ( known pop hip - hop , hip pop , melodic hip - hop melodic rap ) genre music fusing rhythm - based lyricism hip hop music pop music preference melodious vocals catchy tunes . genre gained mainstream popularity 1990s , influences roots pop rap trace late-1980s hip hop artists Run - DMC , LL Cool J , Beastie Boys . lyrics lighthearted , choruses similar heard pop music . 

"
hard rock,"Hard rock heavy rock loosely defined subgenre rock music typified aggressive vocals distorted electric guitars . Hard rock began mid-1960s garage , psychedelic blues rock movements . earliest hard rock music produced Kinks , , Rolling Stones , Cream Jimi Hendrix Experience . late 1960s , bands Jeff Beck Group , Iron Butterfly , Led Zeppelin , Golden Earring , Steppenwolf Deep Purple produced hard rock . 
 genre developed major form popular music 1970s , , Led Zeppelin Deep Purple joined Queen , AC / DC , Aerosmith , Kiss , Van Halen . 1980s , hard rock bands moved away hard rock roots pop rock . Established bands comeback mid-1980s hard rock reached commercial peak 1980s , glam metal bands Bon Jovi Def Leppard rawer sounds Guns N ' Roses followed great success later decade . 
 Hard rock began losing popularity commercial success R&B , hip - hop , urban pop , grunge later Britpop 1990s . Despite , post - grunge bands adopted hard rock sound 2000s saw renewed interest established bands , attempts revival , new hard - rock bands emerged garage rock post - punk revival scenes . movement came garage rock bands like White Stripes , Strokes , Interpol later Black Keys . 2000s , hard - rock bands 1970s 1980s managed sustain highly successful recording careers ."
electro house,"Electro house genre electronic dance music characterized heavy bass tempo 130 beats minute . term describe music DJ Mag 100 DJs , including Benny Benassi , Skrillex , Steve Aoki & Deadmau5 . 

"
nu metal,"Nu metal ( stylized nü - metal ) subgenre alternative metal combines elements heavy metal music elements music genres hip hop , alternative rock , funk , industrial , grunge . Nu metal bands drawn elements influences variety musical styles , including multiple genres heavy metal . Nu metal rarely features guitar solos displays technical competence ; genre heavily syncopated based guitar riffs . nu metal guitarists use seven - string guitars - tuned produce heavier sound . DJs occasionally featured nu metal provide instrumentation sampling , turntable scratching electronic backgrounds . Vocal styles nu metal include singing , rapping , screaming growling . Nu metal key genres new wave American heavy metal . 
 Nu metal popular late 1990s bands artists Korn , Limp Bizkit , Slipknot Kid Rock releasing albums sold millions copies . Nu metal popularity continued early 2000s , bands Papa Roach , Staind , P.O.D. selling multi - platinum albums , came peak Linkin Park diamond - selling album Hybrid Theory . , mid-2000s , oversaturation bands combined underperformance high - profile releases led nu metal decline , leading rise metalcore nu metal bands disbanding abandoning established sound favor genres . 
 2010s , nu metal revival ; bands combine nu metal genres ( example , metalcore deathcore ) emerged , nu metal bands 1990s early 2000s returned nu metal sound . Bands like Mice & Men , Emmure , Issues Ticket Home combine nu metal metalcore deathcore . Artists like Grimes , Poppy Rina Sawayama integrate nu metal sounds electronic pop music late 2010s early 2020s ."
indie pop,"Indie pop ( typeset indie - pop indiepop ) music genre subculture combines guitar pop DIY ethic opposition style tone mainstream pop music . originated British post - punk late 1970s subsequently generated thriving fanzine , label , club gig circuit . Compared counterpart , indie rock , genre melodic , abrasive , relatively angst - free . later years , definition indie pop bifurcated mean bands unrelated DIY scenes / movements pop leanings . Subgenres include chamber pop twee pop ."
alternative rock,"Alternative rock , alt - rock , category rock music emerged independent music underground 1970s widely popular 1990s . "" Alternative "" refers genre distinction mainstream commercial rock pop music . term original meaning broader , referring musicians influenced musical style independent , DIY ethos late-1970s punk rock . Traditionally , alternative rock varied terms sound , social context , regional roots . 1980s , magazines zines , college radio airplay , word mouth increased prominence highlighted diversity alternative rock distinct styles ( music scenes ) , noise pop , indie rock , grunge , shoegaze . September 1988 , Billboard introduced "" alternative "" charting system reflect rise format radio stations United States stations like KROQ - FM Los Angeles WDRE - FM New York , playing music underground , independent , non - commercial rock artists . Initially , alternative styles achieved minor mainstream notice bands , R.E.M. Jane Addiction , signed major labels . alternative bands , , remained signed independent labels received relatively little attention mainstream radio , television , newspapers . breakthrough Nirvana popularity grunge Britpop movements 1990s , alternative rock entered musical mainstream , alternative bands successful . 
 success bands White Stripes Strokes early 2000s , influx new alternative rock bands drew inspiration garage rock , post - punk new wave found commercial success early mid 2000s , establishing garage rock revival post - punk revival movements ."
uk pop,
latin hip hop,"Latin hip - hop ( known latin rap ) hip - hop music recorded artists United States Hispanic Latino descent Spanish - speaking countries Caribbean , North America , Central America , South America , Spain ."
rock en espanol,"Rock en español ( Spanish ' "" Spanish - language rock "" ' ) term widely English - speaking world refer kind rock music featuring Spanish vocals . Unlike English - speaking bands , acts reached worldwide success different Spanish - speaking countries lack promotion . Despite rock en español origins late 1950s , rock acts achieved best nationwide fame Internet consolidated listeners . , rock en español artists internationally popular help promotional campaign mid 1980s mid 1990s called "" Rock en tu idioma "" ( "" Rock language "" ) . specific rock - based styles influenced folkloric rhythms developed regions . prominent styles Latin rock ( fusion rock music Latin American Caribbean folkloric sounds developed Latino communities ) ; Latin alternative , alternative rock scene blended Latin sound genres like Caribbean ska , reggae , soca ; Andalusian rock , flamenco - influenced style emerged Spain . 

"
ranchera,"Ranchera ( pronounced [ ranˈtʃeɾa ] ) canción ranchera genre traditional music Mexico . dates years Mexican Revolution . Rancheras today played virtually regional Mexican music styles . Drawing rural traditional folk music , ranchera developed symbol new national consciousness reaction aristocratic tastes period . classic "" rancheras "" songs usually talk life Mexico rural areas , portray life Mexico time bandits . said , refers romanticizing canteens , charros "" Mexican cowboy "" , firearms , love affairs duels ."
modern bollywood,
tropical,"Tropical music ( Spanish : música tropical ) term Latin music industry refers music genres deriving influenced Spanish - speaking areas Caribbean . includes islands Cuba , Puerto Rico , Dominican Republic , Caribbean coastal regions Colombia Venezuela . 1940s 1950s , term tropical music created cover music hispanophone Caribbean excluding Cuban music , category niche American ( lesser extent European ) music market . , later 20th century Cuban Revolution , tropical music gained broader meaning began order distinguish Caribbean genres cumbia son cubano inland genres tejano norteño . 

"
alt z,
gangster rap,"Gangsta rap gangster rap , initially called reality rap , emerged mid- late 1980s controversial hip - hop subgenre lyrics assert culture values typical American street gangs street hustlers . gangsta rappers flaunt associations real street gangs , like Crips Bloods . Gangsta rap pioneers Schoolly D Philadelphia 1985 , Ice - T Los Angeles 1986 , especially N.W.A 1988 . 1993 , record producer Dr. Dre , rapper Snoop Dogg G - funk sound , gangsta rap took rap genre lead mainstream , popular music . 
 Gangsta rap recurrently accused promoting disorderly conduct broad criminality , especially assault , homicide , drug dealing , misogyny , promiscuity , materialism . Gangsta rap defenders variously characterized artistic depictions literal endorsements real life American ghettos , suggested lyrics voice rage social oppression police brutality , accused critics hypocrisy racial bias . , gangsta rap assailed black public figures , including Spike Lee , pastor Calvin Butts activist C. Delores Tucker ."
atl hip hop,
art pop,"Art pop ( typeset art - pop artpop ) loosely defined style pop music influenced art theories ideas art mediums , fashion , fine art , cinema , avant - garde literature . genre draws pop art integration high low culture , emphasizes signs , style , gesture personal expression . Art pop musicians deviate traditional pop audiences rock music conventions , instead exploring postmodern approaches ideas pop status commercial art , notions artifice self , questions historical authenticity . 
 Starting mid-1960s , British American pop musicians Brian Wilson , Phil Spector , Beatles began incorporating ideas pop art movement recordings . English art pop musicians drew art school studies , America style drew influence pop artist Andy Warhol affiliated band Velvet Underground . style experience "" golden age "" 1970s glam rock artists David Bowie Roxy Music , embraced theatricality throwaway pop culture . Art pop tradition continued late 1970s 1980s styles post - punk synthpop British New Romantic scene , developing artists rejected conventional rock instrumentation structure favor dance styles synthesizer . 2010s saw new art pop trends develop , hip hop artists drawing visual art vaporwave artists exploring sensibilities contemporary capitalism Internet ."
country road,"Country Road Country Roads refer : 

 Country Road ( band ) , country music band Sweden 
 Country Road ( retailer ) , Australian clothing retailer 
 "" Country Road "" ( song ) , James Taylor song 
 Country Roads ( TV series ) , 1973 Canadian TV series"
corrido,"corrido ( Spanish pronunciation : [ koˈrið̞o ] ) popular narrative metrical tale poetry forms ballad . songs oppression , history , daily life criminals , vaquero lifestyle , socially relevant topics . Corridos widely popular Mexican Revolution , Southwestern American frontier development Tejano music New Mexico music , later influenced Western music . corrido derives largely romance , known form consists salutation singer prologue story , story , moral farewell singer . popular genre today Mexico . 
 Outside Mexico corridos popular Chilean national - day celebrations Fiestas Patrias . 

"
new wave pop,
singer-songwriter,"singer - songwriter musician writes , composes , performs musical material , including lyrics melodies . United States , category built folk - acoustic tradition , role transmuted different eras popular music . Singer - songwriters provide sole accompaniment entire composition song , typically guitar piano . early 21st century , digital production tools GarageBand began singer - songwriters compose music ."
underground hip hop,"Underground hip - hop ( commonly known indie hip - hop underground rap ) umbrella term hip hop music outside general commercial canon . typically associated independent artists , signed independent labels label . Underground hip hop characterized socially conscious , positive , anti - commercial lyrics . , unifying universal theme – AllMusic suggests "" sonic signifiers "" . "" Underground "" refers community musicians , fans support non - commercial , independent music . Music scenes strong ties underground hip hop include alternative hip hop conscious hip hop . artists considered "" underground "" today , previously broken Billboard charts . 

"
neo mellow,
french hip hop,"French hip hop hip hop music style developed French - speaking countries . France second largest hip - hop market world United States . 

"
sad sierreno,
german hip hop,"German hip hop refers hip hop music produced Germany . Elements American hip hop culture , graffiti art breakdancing , diffused Western Europe early 1980s ."
latin alternative,"Latin alternative , "" alterlatino "" , brand Latin rock music produced combining genres like alternative rock , lofi , chillout , metal , electronica , hip hop , new wave , pop rock , punk rock , reggae , ska traditional Ibero - American sounds , Latin Europeans Latin Americans countries ( Spanish , Italian , Portuguese , French Catalan languages ) ."
